iter	Passed	Remaining
761	904	282
762	906	281
763	907	280
764	908	279
765	909	277
766	910	276
767	912	275
768	913	274
769	914	273
770	915	272
771	916	270
772	918	269
773	919	268
774	920	267
775	921	265
776	922	264
777	923	263
778	924	262
779	925	261
780	927	259
781	928	258
782	931	258
783	939	258
784	941	257
785	944	257
786	950	257
787	954	256
788	957	255
789	960	255
790	962	254
791	964	253
792	966	252
793	968	251
794	970	250
795	972	249
796	973	247
797	975	246
798	978	246
799	980	245
800	982	244
801	984	242
802	986	241
803	988	240
804	989	239
805	993	239
806	995	238
807	997	237
808	1000	236
809	1001	234
810	1002	233
811	1004	232
812	1006	231
813	1008	230
814	1010	229
815	1011	228
816	1012	226
817	1013	225
818	1014	224
819	1016	223
820	1017	221
821	1020	221
822	1023	220
823	1025	218
824	1026	217
825	1028	216
826	1029	215
827	1031	214
828	1031	212
829	1032	211
830	1033	210
831	1035	209
832	1036	207
833	1037	206
834	1038	205
835	1039	203
836	1040	202
837	1041	201
838	1042	200
839	1043	198
840	1044	197
841	1045	196
842	1046	194
843	1047	193
844	1050	192
845	1051	191
846	1053	190
847	1054	189
848	1056	187
849	1057	186
850	1059	185
851	1061	184
852	1066	183
853	1068	182
854	1071	181
855	1073	180
856	1074	179
857	1076	178
858	1079	177
859	1081	176
860	1082	174
861	1084	173
862	1085	172
863	1087	171
864	1088	169
865	1089	168
866	1090	167
867	1091	165
868	1094	164
869	1095	163
870	1097	162
871	1099	161
872	1100	160
873	1102	158
874	1103	157
875	1105	156
876	1111	155
877	1113	154
878	1119	154
879	1120	152
880	1131	152
881	1133	151
882	1135	150
883	1136	149
884	1143	148
885	1144	147
886	1146	146
887	1147	144
888	1148	143
889	1150	142
890	1151	140
891	1158	140
892	1160	139
893	1162	137
894	1163	136
895	1164	135
896	1165	133
897	1170	132
898	1172	131
899	1177	130
900	1179	129
901	1180	128
902	1181	126
903	1183	125
904	1185	124
905	1187	123
906	1188	121
907	1189	120
908	1191	119
909	1192	117
910	1200	117
911	1202	116
912	1204	114
913	1205	113
914	1206	112
915	1207	110
916	1208	109
917	1209	108
918	1211	106
919	1213	105
920	1214	104
921	1216	102
922	1217	101
923	1218	100
924	1219	98
925	1220	97
926	1221	96
927	1222	94
928	1226	93
929	1227	92
930	1229	91
931	1230	89
932	1232	88
933	1234	87
934	1235	85
935	1237	84
936	1239	83
937	1241	82
938	1243	80
939	1244	79
940	1246	78
941	1247	76
942	1248	75
943	1249	74
944	1250	72
945	1253	71
946	1254	70
947	1256	68
948	1257	67
949	1259	66
950	1260	64
951	1261	63
952	1262	62
953	1263	60
954	1265	59
955	1267	58
956	1268	56
957	1269	55
958	1270	54
959	1271	52
960	1272	51
961	1273	50
962	1274	48
963	1275	47
964	1277	46
965	1279	45
966	1280	43
967	1281	42
968	1282	41
969	1284	39
970	1285	38
971	1287	37
972	1288	35
973	1288	34
974	1289	33
975	1290	31
976	1292	30
977	1293	29
978	1294	27
979	1295	26
980	1297	25
981	1299	23
982	1300	22
983	1302	21
984	1303	19
985	1305	18
986	1307	17
987	1308	15
988	1309	14
989	1311	13
990	1312	11
991	1313	10
992	1314	9
993	1316	7
994	1321	6
995	1323	5
996	1324	3
997	1326	2
998	1327	1
999	1328	0
